##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   2.220000e+00    -1.594013e+00    -1.673840e+00     4.884740e-04  
   2.230000e+00    -1.692452e+00    -1.681380e+00     4.850072e-04  
   2.240000e+00    -1.793323e+00    -1.688920e+00     4.792375e-04  
   2.250000e+00    -1.880627e+00    -1.696460e+00     4.729092e-04  
   2.260000e+00    -1.935682e+00    -1.704000e+00     4.679517e-04  
   2.270000e+00    -1.937948e+00    -1.711540e+00     4.658838e-04  
   2.280000e+00    -1.866052e+00    -1.719079e+00     4.672948e-04  
   2.290000e+00    -1.698950e+00    -1.726619e+00     4.716389e-04  
   2.300000e+00    -1.417180e+00    -1.734159e+00     4.774502e-04  
   2.310000e+00    -1.004113e+00    -1.741699e+00     4.828660e-04  
   2.320000e+00    -4.471563e-01    -1.749239e+00     4.862165e-04  
   2.330000e+00     2.611877e-01    -1.756779e+00     4.864876e-04  
   2.340000e+00     1.122464e+00    -1.764318e+00     4.835693e-04  
   2.350000e+00     2.131669e+00    -1.771858e+00     4.782738e-04  
   2.360000e+00     3.276968e+00    -1.779398e+00     4.721277e-04  
   2.370000e+00     4.539748e+00    -1.786938e+00     4.669542e-04  
   2.380000e+00     5.895017e+00    -1.794478e+00     4.643174e-04  
   2.390000e+00     7.312151e+00    -1.802017e+00     4.649934e-04  
   2.400000e+00     8.755951e+00    -1.809557e+00     4.686937e-04  
   2.410000e+00     1.018796e+01    -1.817097e+00     4.741821e-04  
   2.420000e+00     1.156798e+01    -1.824637e+00     4.797213e-04  
   2.430000e+00     1.285575e+01    -1.832177e+00     4.836391e-04  
   2.440000e+00     1.401261e+01    -1.839717e+00     4.848079e-04  
   2.450000e+00     1.500319e+01    -1.847256e+00     4.829314e-04  
   2.460000e+00     1.579690e+01    -1.854796e+00     4.786095e-04  
   2.470000e+00     1.636929e+01    -1.862336e+00     4.731799e-04  
   2.480000e+00     1.670306e+01    -1.869876e+00     4.683530e-04  
   2.490000e+00     1.678882e+01    -1.877416e+00     4.656955e-04  
   2.500000e+00     1.662542e+01    -1.884956e+00     4.661066e-04  
   2.510000e+00     1.621991e+01    -1.892495e+00     4.694950e-04  
   2.520000e+00     1.558720e+01    -1.900035e+00     4.748155e-04  
   2.530000e+00     1.474925e+01    -1.907575e+00     4.804428e-04  
   2.540000e+00     1.373406e+01    -1.915115e+00     4.847038e-04  
   2.550000e+00     1.257434e+01    -1.922655e+00     4.863647e-04  
   2.560000e+00     1.130606e+01    -1.930194e+00     4.849501e-04  
   2.570000e+00     9.966830e+00    -1.937734e+00     4.808546e-04  
   2.580000e+00     8.594353e+00    -1.945274e+00     4.752405e-04  
   2.590000e+00     7.224862e+00    -1.952814e+00     4.697320e-04  
   2.600000e+00     5.891749e+00    -1.960354e+00     4.659461e-04  
   2.610000e+00     4.624367e+00    -1.967894e+00     4.649742e-04  
   2.620000e+00     3.447110e+00    -1.975433e+00     4.670042e-04  
   2.630000e+00     2.378764e+00    -1.982973e+00     4.712596e-04  
   2.640000e+00     1.432179e+00    -1.990513e+00     4.762857e-04  
   2.650000e+00     6.142441e-01    -1.998053e+00     4.804430e-04  
   2.660000e+00    -7.384461e-02    -2.005593e+00     4.824054e-04  
   2.670000e+00    -6.360592e-01    -2.013132e+00     4.815203e-04  
   2.680000e+00    -1.080799e+00    -2.020672e+00     4.779705e-04  
   2.690000e+00    -1.419990e+00    -2.028212e+00     4.727259e-04  
   2.700000e+00    -1.668089e+00    -2.035752e+00     4.672927e-04  
   2.710000e+00    -1.841049e+00    -2.043292e+00     4.632873e-04  
   2.720000e+00    -1.955308e+00    -2.050832e+00     4.619308e-04  
   2.730000e+00    -2.026861e+00    -2.058371e+00     4.636334e-04  
   2.740000e+00    -2.070455e+00    -2.065911e+00     4.678545e-04  
   2.750000e+00    -2.098952e+00    -2.073451e+00     4.733075e-04  
   2.760000e+00    -2.122867e+00    -2.080991e+00     4.784054e-04  
   2.770000e+00    -2.150117e+00    -2.088531e+00     4.817550e-04  
   2.780000e+00    -2.185948e+00    -2.096071e+00     4.825390e-04  
   2.790000e+00    -2.233054e+00    -2.103610e+00     4.807136e-04  
   2.800000e+00    -2.291839e+00    -2.111150e+00     4.770016e-04  
   2.810000e+00    -2.360809e+00    -2.118690e+00     4.726880e-04  
   2.820000e+00    -2.437043e+00    -2.126230e+00     4.692483e-04  
   2.830000e+00    -2.516703e+00    -2.133770e+00     4.678855e-04  
   2.840000e+00    -2.595555e+00    -2.141309e+00     4.691232e-04  
   2.850000e+00    -2.669446e+00    -2.148849e+00     4.726223e-04  
   2.860000e+00    -2.734723e+00    -2.156389e+00     4.773071e-04  
   2.870000e+00    -2.788555e+00    -2.163929e+00     4.817391e-04  
   2.880000e+00    -2.829157e+00    -2.171469e+00     4.845743e-04  
   2.890000e+00    -2.855891e+00    -2.179009e+00     4.849499e-04  
   2.900000e+00    -2.869266e+00    -2.186548e+00     4.827132e-04  
   2.910000e+00    -2.870833e+00    -2.194088e+00     4.784592e-04  
   2.920000e+00    -2.862992e+00    -2.201628e+00     4.733778e-04  
   2.930000e+00    -2.848745e+00    -2.209168e+00     4.689269e-04  
   2.940000e+00    -2.831410e+00    -2.216708e+00     4.663942e-04  
   2.950000e+00    -2.814317e+00    -2.224247e+00     4.664745e-04  
   2.960000e+00    -2.800533e+00    -2.231787e+00     4.690311e-04  
   2.970000e+00    -2.792610e+00    -2.239327e+00     4.731513e-04  
   2.980000e+00    -2.792399e+00    -2.246867e+00     4.774695e-04  
   2.990000e+00    -2.800928e+00    -2.254407e+00     4.806118e-04  
   3.000000e+00    -2.818355e+00    -2.261947e+00     4.816014e-04  
   3.010000e+00    -2.843996e+00    -2.269486e+00     4.801197e-04  
   3.020000e+00    -2.876424e+00    -2.277026e+00     4.765838e-04  
   3.030000e+00    -2.913625e+00    -2.284566e+00     4.720323e-04  
